,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,,0.738,0.619,0.389,0.898,0.44,-0.025,0.331,0.391,-0.114,0.465,0.208,0.368,-0.088,0.063,0.336
2,0.738,,0.748,0.429,0.753,0.34,0.085,0.257,0.436,-0.041,0.58,0.194,0.381,0.072,0.106,0.176
3,0.619,0.748,,0.424,0.732,0.2,0.06,0.188,0.48,-0.017,0.685,0.336,0.133,0.223,-0.259,-0.105
4,0.389,0.429,0.424,,0.437,0.191,-0.003,0.431,0.672,0.02,0.657,0.505,0.009,-0.229,-0.152,-0.093
5,0.898,0.753,0.732,0.437,,0.43,0.166,0.305,0.369,-0.109,0.472,0.261,0.347,0.021,-0.02,0.318
6,0.44,0.34,0.2,0.191,0.43,,0.02,0.277,0.32,-0.0,0.246,0.287,0.253,-0.294,0.54,0.632
7,-0.025,0.085,0.06,-0.003,0.166,0.02,,-0.048,-0.218,-0.025,-0.229,0.218,0.156,0.242,0.071,0.009
8,0.331,0.257,0.188,0.431,0.305,0.277,-0.048,,0.601,-0.143,0.359,0.149,0.198,-0.051,0.171,0.271
9,0.391,0.436,0.48,0.672,0.369,0.32,-0.218,0.601,,0.15,0.892,0.191,0.201,-0.071,0.016,0.09
10,-0.114,-0.041,-0.017,0.02,-0.109,-0.0,-0.025,-0.143,0.15,,0.105,0.016,0.0,0.0,0.041,-0.023
11,0.465,0.58,0.685,0.657,0.472,0.246,-0.229,0.359,0.892,0.105,,0.178,0.141,0.018,-0.154,-0.079
12,0.208,0.194,0.336,0.505,0.261,0.287,0.218,0.149,0.191,0.016,0.178,,0.003,-0.233,-0.088,0.034
13,0.368,0.381,0.133,0.009,0.347,0.253,0.156,0.198,0.201,0.0,0.141,0.003,,0.036,0.567,0.562
14,-0.088,0.072,0.223,-0.229,0.021,-0.294,0.242,-0.051,-0.071,0.0,0.018,-0.233,0.036,,-0.064,0.015
15,0.063,0.106,-0.259,-0.152,-0.02,0.54,0.071,0.171,0.016,0.041,-0.154,-0.088,0.567,-0.064,,0.713
16,0.336,0.176,-0.105,-0.093,0.318,0.632,0.009,0.271,0.09,-0.023,-0.079,0.034,0.562,0.015,0.713,
