assessor,respondent,Criterion,Score
1,1,criterion 1,4
1,2,criterion 1,5
1,3,criterion 1,4
1,4,criterion 1,5
1,5,criterion 1,4
1,6,criterion 1,4
1,7,criterion 1,4
1,8,criterion 1,4
1,9,criterion 1,4
1,10,criterion 1,5
1,11,criterion 1,5
1,12,criterion 1,5
1,13,criterion 1,4
1,14,criterion 1,4
1,15,criterion 1,4
1,16,criterion 1,5
2,1,criterion 1,4
2,2,criterion 1,4
2,3,criterion 1,3
2,4,criterion 1,5
2,5,criterion 1,4
2,6,criterion 1,5
2,7,criterion 1,5
2,8,criterion 1,5
2,9,criterion 1,4
2,10,criterion 1,5
2,11,criterion 1,4
2,12,criterion 1,4
2,13,criterion 1,4
2,14,criterion 1,3
2,15,criterion 1,4
2,16,criterion 1,5
3,1,criterion 1,4
3,2,criterion 1,3
3,3,criterion 1,3
3,4,criterion 1,4
3,5,criterion 1,3
3,6,criterion 1,3
3,7,criterion 1,3
3,8,criterion 1,3
3,9,criterion 1,3
3,10,criterion 1,4
3,11,criterion 1,3
3,12,criterion 1,3
3,13,criterion 1,3
3,14,criterion 1,3
3,15,criterion 1,3
3,16,criterion 1,4
4,1,criterion 1,4
4,2,criterion 1,3
4,3,criterion 1,3
4,4,criterion 1,4
4,5,criterion 1,3
4,6,criterion 1,4
4,7,criterion 1,3
4,8,criterion 1,3
4,9,criterion 1,4
4,10,criterion 1,4
4,11,criterion 1,4
4,12,criterion 1,4
4,13,criterion 1,4
4,14,criterion 1,4
4,15,criterion 1,4
4,16,criterion 1,5
5,1,criterion 1,4
5,2,criterion 1,5
5,3,criterion 1,4
5,4,criterion 1,5
5,5,criterion 1,4
5,6,criterion 1,4
5,7,criterion 1,4
5,8,criterion 1,4
5,9,criterion 1,4
5,10,criterion 1,4
5,11,criterion 1,4
5,12,criterion 1,4
5,13,criterion 1,4
5,14,criterion 1,4
5,15,criterion 1,4
5,16,criterion 1,5
6,1,criterion 1,4
6,2,criterion 1,4
6,3,criterion 1,4
6,4,criterion 1,5
6,5,criterion 1,4
6,6,criterion 1,4
6,7,criterion 1,4
6,8,criterion 1,4
6,9,criterion 1,5
6,10,criterion 1,5
6,11,criterion 1,5
6,12,criterion 1,4
6,13,criterion 1,4
6,14,criterion 1,4
6,15,criterion 1,4
6,16,criterion 1,5
7,1,criterion 1,5
7,2,criterion 1,5
7,3,criterion 1,5
7,4,criterion 1,4
7,5,criterion 1,4
7,6,criterion 1,5
7,7,criterion 1,5
7,8,criterion 1,4
7,9,criterion 1,5
7,10,criterion 1,5
7,11,criterion 1,5
7,12,criterion 1,4
7,13,criterion 1,4
7,14,criterion 1,5
7,15,criterion 1,5
7,16,criterion 1,5
8,1,criterion 1,5
8,2,criterion 1,5
8,3,criterion 1,5
8,4,criterion 1,5
8,5,criterion 1,5
8,6,criterion 1,5
8,7,criterion 1,5
8,8,criterion 1,5
8,9,criterion 1,5
8,10,criterion 1,5
8,11,criterion 1,5
8,12,criterion 1,5
8,13,criterion 1,5
8,14,criterion 1,5
8,15,criterion 1,5
8,16,criterion 1,5
9,1,criterion 1,5
9,2,criterion 1,4
9,3,criterion 1,4
9,4,criterion 1,5
9,5,criterion 1,4
9,6,criterion 1,4
9,7,criterion 1,4
9,8,criterion 1,4
9,9,criterion 1,4
9,10,criterion 1,4
9,11,criterion 1,4
9,12,criterion 1,4
9,13,criterion 1,5
9,14,criterion 1,4
9,15,criterion 1,4
9,16,criterion 1,5
10,1,criterion 1,4
10,2,criterion 1,4
10,3,criterion 1,4
10,4,criterion 1,4
10,5,criterion 1,4
10,6,criterion 1,4
10,7,criterion 1,4
10,8,criterion 1,4
10,9,criterion 1,4
10,10,criterion 1,4
10,11,criterion 1,4
10,12,criterion 1,4
10,13,criterion 1,4
10,14,criterion 1,4
10,15,criterion 1,4
10,16,criterion 1,4
11,1,criterion 1,4
11,2,criterion 1,4
11,3,criterion 1,4
11,4,criterion 1,5
11,5,criterion 1,4
11,6,criterion 1,4
11,7,criterion 1,4
11,8,criterion 1,4
11,9,criterion 1,4
11,10,criterion 1,4
11,11,criterion 1,4
11,12,criterion 1,4
11,13,criterion 1,4
11,14,criterion 1,4
11,15,criterion 1,4
11,16,criterion 1,5
12,1,criterion 1,5
12,2,criterion 1,5
12,3,criterion 1,5
12,4,criterion 1,5
12,5,criterion 1,4
12,6,criterion 1,5
12,7,criterion 1,5
12,8,criterion 1,5
12,9,criterion 1,5
12,10,criterion 1,5
12,11,criterion 1,5
12,12,criterion 1,5
12,13,criterion 1,4
12,14,criterion 1,4
12,15,criterion 1,5
12,16,criterion 1,5
13,1,criterion 1,5
13,2,criterion 1,5
13,3,criterion 1,5
13,4,criterion 1,5
13,5,criterion 1,4
13,6,criterion 1,4
13,7,criterion 1,5
13,8,criterion 1,5
13,9,criterion 1,4
13,10,criterion 1,5
13,11,criterion 1,4
13,12,criterion 1,5
13,13,criterion 1,5
13,14,criterion 1,5
13,15,criterion 1,5
13,16,criterion 1,5
14,1,criterion 1,5
14,2,criterion 1,4
14,3,criterion 1,4
14,4,criterion 1,4
14,5,criterion 1,5
14,6,criterion 1,5
14,7,criterion 1,5
14,8,criterion 1,4
14,9,criterion 1,4
14,10,criterion 1,5
14,11,criterion 1,4
14,12,criterion 1,5
14,13,criterion 1,5
14,14,criterion 1,5
14,15,criterion 1,5
14,16,criterion 1,5
15,1,criterion 1,4
15,2,criterion 1,4
15,3,criterion 1,4
15,4,criterion 1,5
15,5,criterion 1,5
15,6,criterion 1,5
15,7,criterion 1,5
15,8,criterion 1,5
15,9,criterion 1,5
15,10,criterion 1,5
15,11,criterion 1,5
15,12,criterion 1,5
15,13,criterion 1,5
15,14,criterion 1,5
15,15,criterion 1,5
15,16,criterion 1,5
16,1,criterion 1,5
16,2,criterion 1,5
16,3,criterion 1,5
16,4,criterion 1,5
16,5,criterion 1,5
16,6,criterion 1,5
16,7,criterion 1,5
16,8,criterion 1,5
16,9,criterion 1,5
16,10,criterion 1,5
16,11,criterion 1,5
16,12,criterion 1,5
16,13,criterion 1,5
16,14,criterion 1,5
16,15,criterion 1,5
16,16,criterion 1,5
1,1,criterion 2,4
1,2,criterion 2,5
1,3,criterion 2,4
1,4,criterion 2,4
1,5,criterion 2,4
1,6,criterion 2,4
1,7,criterion 2,4
1,8,criterion 2,4
1,9,criterion 2,4
1,10,criterion 2,4
1,11,criterion 2,4
1,12,criterion 2,4
1,13,criterion 2,4
1,14,criterion 2,4
1,15,criterion 2,4
1,16,criterion 2,4
2,1,criterion 2,5
2,2,criterion 2,5
2,3,criterion 2,4
2,4,criterion 2,4
2,5,criterion 2,4
2,6,criterion 2,4
2,7,criterion 2,5
2,8,criterion 2,4
2,9,criterion 2,5
2,10,criterion 2,4
2,11,criterion 2,4
2,12,criterion 2,5
2,13,criterion 2,5
2,14,criterion 2,3
2,15,criterion 2,5
2,16,criterion 2,4
3,1,criterion 2,4
3,2,criterion 2,3
3,3,criterion 2,2
3,4,criterion 2,2
3,5,criterion 2,3
3,6,criterion 2,2
3,7,criterion 2,3
3,8,criterion 2,2
3,9,criterion 2,3
3,10,criterion 2,3
3,11,criterion 2,2
3,12,criterion 2,3
3,13,criterion 2,3
3,14,criterion 2,2
3,15,criterion 2,3
3,16,criterion 2,2
4,1,criterion 2,4
4,2,criterion 2,4
4,3,criterion 2,4
4,4,criterion 2,4
4,5,criterion 2,4
4,6,criterion 2,4
4,7,criterion 2,4
4,8,criterion 2,4
4,9,criterion 2,4
4,10,criterion 2,3
4,11,criterion 2,3
4,12,criterion 2,3
4,13,criterion 2,4
4,14,criterion 2,3
4,15,criterion 2,4
4,16,criterion 2,4
5,1,criterion 2,3
5,2,criterion 2,4
5,3,criterion 2,3
5,4,criterion 2,4
5,5,criterion 2,3
5,6,criterion 2,3
5,7,criterion 2,3
5,8,criterion 2,3
5,9,criterion 2,4
5,10,criterion 2,4
5,11,criterion 2,3
5,12,criterion 2,3
5,13,criterion 2,4
5,14,criterion 2,3
5,15,criterion 2,3
5,16,criterion 2,3
6,1,criterion 2,4
6,2,criterion 2,4
6,3,criterion 2,3
6,4,criterion 2,4
6,5,criterion 2,4
6,6,criterion 2,4
6,7,criterion 2,4
6,8,criterion 2,4
6,9,criterion 2,5
6,10,criterion 2,5
6,11,criterion 2,4
6,12,criterion 2,4
6,13,criterion 2,4
6,14,criterion 2,4
6,15,criterion 2,4
6,16,criterion 2,4
7,1,criterion 2,4
7,2,criterion 2,5
7,3,criterion 2,4
7,4,criterion 2,4
7,5,criterion 2,4
7,6,criterion 2,5
7,7,criterion 2,5
7,8,criterion 2,4
7,9,criterion 2,5
7,10,criterion 2,5
7,11,criterion 2,4
7,12,criterion 2,5
7,13,criterion 2,5
7,14,criterion 2,5
7,15,criterion 2,5
7,16,criterion 2,2
8,1,criterion 2,4
8,2,criterion 2,5
8,3,criterion 2,4
8,4,criterion 2,5
8,5,criterion 2,5
8,6,criterion 2,5
8,7,criterion 2,5
8,8,criterion 2,5
8,9,criterion 2,5
8,10,criterion 2,5
8,11,criterion 2,4
8,12,criterion 2,5
8,13,criterion 2,5
8,14,criterion 2,5
8,15,criterion 2,5
8,16,criterion 2,5
9,1,criterion 2,4
9,2,criterion 2,4
9,3,criterion 2,4
9,4,criterion 2,4
9,5,criterion 2,4
9,6,criterion 2,4
9,7,criterion 2,4
9,8,criterion 2,4
9,9,criterion 2,4
9,10,criterion 2,4
9,11,criterion 2,4
9,12,criterion 2,4
9,13,criterion 2,4
9,14,criterion 2,4
9,15,criterion 2,4
9,16,criterion 2,5
10,1,criterion 2,5
10,2,criterion 2,4
10,3,criterion 2,5
10,4,criterion 2,4
10,5,criterion 2,5
10,6,criterion 2,4
10,7,criterion 2,4
10,8,criterion 2,4
10,9,criterion 2,4
10,10,criterion 2,4
10,11,criterion 2,4
10,12,criterion 2,4
