assessor,respondent,criterion 1,criterion 2,criterion 3,criterion 4,criterion 5,criterion 6,criterion 7,criterion 8,criterion 9,average,Arena
1,1,4,4,5,4,3,3,4,4,4,"3,89",1282
1,2,5,5,5,5,4,4,5,5,5,"4,78",1282
1,3,4,4,4,4,3,3,4,4,4,"3,78",1282
1,4,5,4,5,5,4,4,5,5,5,"4,67",1282
1,5,4,4,4,4,3,3,4,4,4,"3,78",1282
1,6,4,4,4,4,4,4,5,4,4,"4,11",1282
1,7,4,4,4,4,4,4,5,4,4,"4,11",1282
1,8,4,4,4,4,4,4,4,4,4,"4,00",1282
1,9,4,4,4,4,4,4,4,4,4,"4,00",1282
1,10,5,4,5,5,4,4,5,4,4,"4,44",1282
1,11,5,4,4,4,4,4,5,4,4,"4,22",1282
1,12,5,4,5,5,4,5,4,4,4,"4,44",1282
1,13,4,4,4,5,5,5,4,4,4,"4,33",1282
1,14,4,4,4,5,4,4,4,4,4,"4,11",1282
1,15,4,4,4,4,4,5,4,4,4,"4,11",1282
1,16,5,4,5,5,5,5,5,5,5,"4,89",1282
2,1,4,5,5,3,4,4,4,5,4,"4,22",1272
2,2,4,5,5,5,4,4,5,5,4,"4,56",1272
2,3,3,4,4,5,3,3,4,4,3,"3,67",1272
2,4,5,4,5,5,4,5,5,5,4,"4,67",1272
2,5,4,4,5,5,3,4,3,4,3,"3,89",1272
2,6,5,4,5,5,4,4,4,3,3,"4,11",1272
2,7,5,5,5,5,4,4,5,5,4,"4,67",1272
2,8,5,4,4,5,4,4,4,3,3,"4,00",1272
2,9,4,5,3,5,4,4,3,4,3,"3,89",1272
2,10,5,4,5,5,5,4,4,4,5,"4,56",1272
2,11,4,4,3,5,4,3,4,4,4,"3,89",1272
2,12,4,5,5,5,4,4,5,4,3,"4,33",1272
2,13,4,5,5,5,5,4,3,2,2,"3,89",1272
2,14,3,3,4,5,4,3,5,5,4,"4,00",1272
2,15,4,5,4,5,3,4,4,3,3,"3,89",1272
2,16,5,4,5,5,5,4,5,5,4,"4,67",1272
3,1,4,4,3,2,3,2,3,4,3,"3,11",1267
3,2,3,3,4,3,4,2,4,3,3,"3,22",1267
3,3,3,2,3,2,2,2,3,3,2,"2,44",1267
3,4,4,2,4,3,2,3,4,3,3,"3,11",1267
3,5,3,3,4,2,2,3,2,2,2,"2,56",1267
3,6,3,2,3,3,2,2,3,2,2,"2,44",1267
3,7,3,3,3,3,2,3,3,2,2,"2,67",1267
3,8,3,2,4,3,2,2,2,2,2,"2,44",1267
3,9,3,3,3,3,2,3,2,2,2,"2,56",1267
3,10,4,3,4,3,3,3,3,2,3,"3,11",1267
3,11,3,2,2,3,2,2,3,3,2,"2,44",1267
3,12,3,3,3,2,2,2,3,2,2,"2,44",1267
3,13,3,3,3,2,3,3,2,2,2,"2,56",1267
3,14,3,2,3,2,3,2,3,2,2,"2,44",1267
3,15,3,3,4,2,2,3,2,2,2,"2,56",1267
3,16,4,2,4,3,2,3,4,3,3,"3,11",1267
4,1,4,4,4,3,4,4,4,4,4,"3,89",1241
4,2,3,4,4,4,4,3,4,4,4,"3,78",1241
4,3,3,4,4,4,3,3,4,4,4,"3,67",1241
4,4,4,4,4,4,3,4,4,4,4,"3,89",1241
4,5,3,4,4,3,2,4,3,4,4,"3,44",1241
4,6,4,4,4,4,4,4,4,4,4,"4,00",1241
4,7,3,4,4,4,4,4,4,4,4,"3,89",1241
4,8,3,4,4,4,3,3,4,4,4,"3,67",1241
4,9,4,4,3,4,4,4,4,4,4,"3,89",1241
4,10,4,3,4,3,4,3,4,3,3,"3,44",1241
4,11,4,3,4,3,4,3,4,3,3,"3,44",1241
4,12,4,3,4,3,4,3,4,3,3,"3,44",1241
4,13,4,4,4,3,4,4,4,3,3,"3,67",1241
4,14,4,3,4,3,4,3,4,4,3,"3,56",1241
4,15,4,4,4,3,4,4,4,3,3,"3,67",1241
4,16,5,4,5,4,5,5,5,4,4,"4,56",1241
5,1,4,3,3,3,2,2,4,3,4,"3,11",1216
5,2,5,4,4,4,3,3,5,4,4,"4,00",1216
5,3,4,3,3,3,2,2,4,3,3,"3,00",1216
5,4,5,4,4,4,3,3,3,4,4,"3,78",1216
5,5,4,3,3,3,2,2,3,3,3,"2,89",1216
5,6,4,3,3,3,3,2,3,3,3,"3,00",1216
5,7,4,3,4,4,3,3,4,3,3,"3,44",1216
5,8,4,3,4,2,3,3,2,3,3,"3,00",1216
5,9,4,4,3,3,3,4,4,3,3,"3,44",1216
5,10,4,4,4,3,3,4,4,3,4,"3,67",1216
5,11,4,3,3,3,3,3,4,3,3,"3,22",1216
5,12,4,3,4,3,3,3,4,3,3,"3,33",1216
5,13,4,4,4,3,3,4,3,2,3,"3,33",1216
5,14,4,3,4,3,3,3,4,3,3,"3,33",1216
5,15,4,3,4,4,3,4,3,2,3,"3,33",1216
5,16,5,3,5,4,3,4,4,4,4,"4,00",1216
6,1,4,4,4,4,4,3,5,4,4,"4,00",1207
6,2,4,4,4,4,4,3,5,4,4,"4,00",1207
6,3,4,3,4,4,3,3,5,4,4,"3,78",1207
6,4,5,4,5,4,4,4,5,4,4,"4,33",1207
6,5,4,4,4,4,3,4,4,4,4,"3,89",1207
6,6,4,4,5,4,4,4,5,4,4,"4,22",1207
6,7,4,4,4,4,4,4,5,4,4,"4,11",1207
6,8,4,4,5,4,3,4,4,4,4,"4,00",1207
6,9,5,5,5,4,4,4,5,4,4,"4,44",1207
6,10,5,5,5,4,4,4,5,4,4,"4,44",1207
6,11,5,4,5,4,4,4,5,4,4,"4,33",1207
6,12,4,4,5,4,4,4,5,4,4,"4,22",1207
6,13,4,4,4,4,4,4,5,4,4,"4,11",1207
6,14,4,4,4,4,4,4,5,4,4,"4,11",1207
6,15,4,4,4,4,4,4,5,4,4,"4,11",1207
6,16,5,4,5,4,4,4,5,4,4,"4,33",1207
7,1,5,4,5,4,4,4,5,5,5,"4,56",1207
7,2,5,5,5,5,5,4,5,5,5,"4,89",1207
7,3,5,4,5,4,4,4,5,5,5,"4,56",1207
7,4,4,4,5,4,3,4,4,4,4,"4,00",1207
7,5,4,4,4,4,4,4,3,4,4,"3,89",1207
7,6,5,5,5,5,4,5,5,5,5,"4,89",1207
7,7,5,5,5,5,5,5,5,5,5,"5,00",1207
7,8,4,4,5,3,4,4,3,4,4,"3,89",1207
7,9,5,5,5,4,5,5,4,4,5,"4,67",1207
7,10,5,5,5,5,5,5,5,5,5,"5,00",1207
7,11,5,4,4,3,4,4,4,4,3,"3,89",1207
7,12,4,5,5,4,4,4,4,5,4,"4,33",1207
7,13,4,5,5,4,5,5,4,5,5,"4,67",1207
