,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,,0.743,0.051,0.179,0.216,0.438,-0.021,0.182,0.393,-0.032,0.48,0.212,0.19,-0.094,0.02,0.147
2,0.743,,0.067,0.223,0.2,0.353,0.065,0.125,0.451,-0.011,0.591,0.189,0.176,0.075,0.031,0.07
3,0.051,0.067,,0.06,0.24,0.012,0.005,0.006,0.027,-0.0,0.04,0.024,0.005,0.021,-0.008,-0.004
4,0.179,0.223,0.06,,0.263,0.081,-0.001,0.053,0.267,0.001,0.24,0.184,0.001,-0.116,-0.015,-0.013
5,0.216,0.2,0.24,0.263,,0.088,0.032,0.026,0.072,-0.006,0.089,0.052,0.034,0.006,-0.001,0.03
6,0.438,0.353,0.012,0.081,0.088,,0.013,0.063,0.334,-0.0,0.246,0.252,0.073,-0.308,0.083,0.157
7,-0.021,0.065,0.005,-0.001,0.032,0.013,,-0.052,-0.145,-0.02,-0.175,0.199,0.156,0.203,0.055,0.009
8,0.182,0.125,0.006,0.053,0.026,0.063,-0.052,,0.125,-0.027,0.117,0.1,0.187,-0.033,0.079,0.207
9,0.393,0.451,0.027,0.267,0.072,0.334,-0.145,0.125,,0.012,0.863,0.17,0.056,-0.074,0.002,0.022
10,-0.032,-0.011,-0.0,0.001,-0.006,-0.0,-0.02,-0.027,0.012,,0.014,0.005,0.0,0.0,0.043,-0.024
11,0.48,0.591,0.04,0.24,0.089,0.246,-0.175,0.117,0.863,0.014,,0.176,0.052,0.019,-0.031,-0.025
12,0.212,0.189,0.024,0.184,0.052,0.252,0.199,0.1,0.17,0.005,0.176,,0.002,-0.246,-0.033,0.018
13,0.19,0.176,0.005,0.001,0.034,0.073,0.156,0.187,0.056,0.0,0.052,0.002,,0.021,0.457,0.547
14,-0.094,0.075,0.021,-0.116,0.006,-0.308,0.203,-0.033,-0.074,0.0,0.019,-0.246,0.021,,-0.025,0.007
15,0.02,0.031,-0.008,-0.015,-0.001,0.083,0.055,0.079,0.002,0.043,-0.031,-0.033,0.457,-0.025,,0.688
16,0.147,0.07,-0.004,-0.013,0.03,0.157,0.009,0.207,0.022,-0.024,-0.025,0.018,0.547,0.007,0.688,
